instance;β;Layout;transform;energy;best_dwave;probabilities;discarded_probability;statistic;max_states;bond_dim;de;max_sweeps;cl_states;iters_svd;iters_var;dtemp_mult;var_tol;time;cRAM;schmidts
001;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-467.0;-469.0;-26.430668202531567;-7.913165751424662;0.0;128;12;16.0;0;4096;2;1;2;1.0e-16;12.866198424;0.054;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.00043771885523900974, 0.0034925558115722058, 5.624536017047115e-5, 0.00018363332798118265], 3 => Any[1.0, 1.0, 0.00042841561152911144, 0.0020212517530172475, 0.0005811886330652509, 0.014367235252082831])
002;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-492.0;-492.0;-20.587269330116992;-7.360308646254483;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;10.342684396;0.05;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.00036181882520782685, 0.006627463692170024, 0.0023518797979883636, 0.013978780120201699], 3 => Any[1.0, 1.0, 0.00022786946059431847, 0.0025401236502378514, 0.0014909800452501884, 0.010431840523437286])
003;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-458.0;-460.0;-25.5929737419198;-6.39862951161747;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;10.088449773;0.051;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0021426790728513935, 0.006645188074424043, 0.0022237772684322384, 0.0158701553881028], 3 => Any[1.0, 1.0, 0.0037530257803746634, 0.0150600196412045, 0.0019271285496166458, 0.004869164533334165])
004;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-493.0;-495.0;-20.28209228051927;-7.255913277912505;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;10.670190057;0.056;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.00032456017203491864, 0.004757722580768087, 5.562848559345027e-5, 0.0016430677634717997], 3 => Any[1.0, 1.0, 0.00015662564287049078, 0.0031427356705748884, 0.0003101901655995475, 0.006902504799929689])
005;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-469.0;-471.0;-22.20559307167295;-6.75693157093868;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;7.942157971;0.05;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.002320002834719532, 0.027702666265034894, 0.0066888644496804605, 0.031197842436010727], 3 => Any[1.0, 1.0, 0.0014060292408105705, 0.008650228552992063, 0.002319912315852943, 0.01127621213045513])
006;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-460.0;-460.0;-25.060978871891677;-7.203041114459119;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;11.05257576;0.062;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0034219894530543777, 0.026452667067003808, 0.0024993765519836218, 0.009108393566554018], 3 => Any[1.0, 1.0, 0.001092235561576392, 0.009776183048069516, 0.0011563040972848411, 0.003043971386630787])
007;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-486.0;-486.0;-18.617233064134467;-6.8143924683064565;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;8.533374372;0.055;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0019215439808875244, 0.013553056218044389, 0.007347439412659075, 0.055373991317713644], 3 => Any[1.0, 1.0, 7.611326145842062e-5, 0.000623657512920311, 9.98189920498974e-5, 0.005522591732968811])
008;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-486.0;-490.0;-21.303367294830732;-6.795108372152777;0.0;128;12;16.0;0;4096;2;1;2;1.0e-16;11.88166318;0.047;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0030860466392741374, 0.010882132171051918, 8.606719556979133e-5, 0.0007756169888217557], 3 => Any[1.0, 1.0, 0.0005284240783034531, 0.003893084563347817, 0.0002182211428254949, 0.002139911411537802])
009;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-477.0;-477.0;-23.16176963635856;-6.856463879615682;0.0;128;8;16.0;0;4096;2;1;2;1.0e-16;8.941637754;0.051;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.00028223499961677653, 0.003539179524966381, 0.00030113578116821064, 0.00424072493749893], 3 => Any[1.0, 1.0, 0.003170411987543329, 0.009085877908425837, 0.0005008693222476396, 0.009475561849845162])
010;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-478.0;-478.0;-22.302330572196517;-7.301025958278418;0.0;128;12;16.0;0;4096;2;1;2;1.0e-16;12.997433415;0.049;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0006854786519426381, 0.004517047831941775, 0.002276860290736942, 0.014318548739868969], 3 => Any[1.0, 1.0, 1.9355425689465337e-5, 0.0006603310831681701, 0.0006399189918692542, 0.00867193499209403])
