instance;β;Layout;transform;energy;best_dwave;probabilities;discarded_probability;statistic;max_states;bond_dim;de;max_sweeps;cl_states;iters_svd;iters_var;dtemp_mult;var_tol;time;cRAM;schmidts
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 4, 3, 2), true);-469.0;-469.0;-27.094859513504712;-7.318630269524802;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;44.237836326;0.26;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.00041577205129992255, 0.009499771663916388, 0.0006721126555349284, 0.0015004756368894], 3 => Any[1.0, 1.0, 7.15221012391025e-5, 0.0014026309883885856, 0.0019042358857826764, 0.00776330341139154])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 1, 4, 3), false);-469.0;-469.0;-27.353428530401928;-7.41867276934069;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;48.431091701;0.26;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.00301440428932292, 0.0008015731550290155, 0.007659689667451523, 0.00490892041279257], 3 => Any[1.0, 1.0, 0.045562631849285856, 0.0021390710538738583, 0.0077980159278949026, 0.003805591099235612])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 2, 1, 4), true);-469.0;-469.0;-26.91851402923434;-6.515707752139241;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;48.131938237;0.26;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0016397767223330516, 0.02765339936014448, 0.0009971452746441512, 0.0031925480551092396], 3 => Any[1.0, 1.0, 0.002659539895347031, 0.010693773047608941, 0.003575703986503309, 0.014988795527018423])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 3, 4, 1), true);-469.0;-469.0;-26.891780184762986;-7.399405249893578;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;46.006908057;0.26;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0036900884052074555, 0.0006297612164022189, 0.027260549233805616, 0.0016020970837338588], 3 => Any[1.0, 1.0, 0.01463246620820602, 0.003053329092962883, 0.011815200637994197, 0.0028241941013590695])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-469.0;-469.0;-27.0722525535745;-6.362599785526392;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;47.706345898;0.26;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0006537964451601964, 0.00019460415830894822, 0.006674882539497933, 0.0002944863001745526], 3 => Any[1.0, 1.0, 0.012102740768889718, 0.0017766570701364072, 0.0008787668061692164, 0.0005452789926603874])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 4, 1, 2), false);-469.0;-469.0;-27.111343908700558;-6.502551610137566;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;49.204159811;0.26;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.000267604977213415, 0.006723241295278007, 0.0004086410268413635, 0.0012117857162153207], 3 => Any[1.0, 1.0, 0.0006093317398127965, 0.0007899278780603328, 0.0020706250808314344, 0.012106726600604995])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-469.0;-469.0;-27.268476732147544;-7.315497310432919;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;138.325123065;0.26;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.004945014134614112, 0.014078848414884864, 0.0003760473266151084, 0.002812252521283547], 3 => Any[1.0, 1.0, 0.003782752743051941, 0.007749865435069165, 0.0035268635565312303, 0.05071294086724518])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 1, 2, 3), true);-469.0;-469.0;-27.084630921470325;-6.373772705952256;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;47.103352068;0.26;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0012982386055719404, 0.00018722344000522914, 0.009764353987607548, 0.0006106081369030123], 3 => Any[1.0, 1.0, 0.007278087192849807, 0.0018620137682152959, 0.0014184181335089024, 7.309824878395444e-5])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-492.0;-492.0;-21.855336519627325;-7.226968417685543;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;45.586401476;0.27;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.008373740795440865, 0.0023346793089696746, 0.030801619643013166, 0.003126293479790011], 3 => Any[1.0, 1.0, 0.0012892900221417908, 0.00012834383313481168, 0.0006868528314818798, 0.0009232552105199541])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 4, 3, 2), true);-492.0;-492.0;-21.604001571413527;-6.901424875181938;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;42.816946841;0.27;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0002081468842829754, 0.010927413201003128, 0.0003773975543456203, 0.0008226214953262432], 3 => Any[1.0, 1.0, 0.0031032583007572574, 0.022224589595090865, 0.001117906325551478, 0.011396577360378846])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 4, 1, 2), false);-492.0;-492.0;-21.853026162628268;-7.188808895358222;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;45.841010058;0.27;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.004589006809281413, 0.025265414567285545, 0.0029885266337248877, 0.008740694564165579], 3 => Any[1.0, 1.0, 0.0009111444931447507, 0.0006516949768298273, 0.00012503884704326127, 0.00128402591424645])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 1, 2, 3), true);-492.0;-492.0;-21.66117530999635;-7.2238828263481984;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;43.51379787;0.27;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.000965794663274222, 0.00045768405128590345, 0.009574891627761236, 0.000240672697708389], 3 => Any[1.0, 1.0, 0.011694454090038293, 0.001213549920010245, 0.024065333505226702, 0.0034206521821129724])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 3, 4, 1), true);-492.0;-492.0;-21.706493155979036;-6.99757107919098;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;43.879913601;0.27;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.002781704224117167, 0.0002336597075322785, 0.0047155436685714725, 0.002592155346322545], 3 => Any[1.0, 1.0, 0.004303746006752517, 0.0005509486870859012, 0.011128348986949192, 0.000604835994441116])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 1, 4, 3), false);-492.0;-492.0;-21.41677140536737;-6.984529122527627;0.0;128;8;16.0;0;1048576;2;1;2;1.0e-16;44.136327323;0.27;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.013613563894122147, 0.0036189650748288875, 0.011709132174288954, 0.0006054727987318199], 3 => Any[1.0, 1.0, 0.011211353421780396, 0.0037390210557295307, 0.00514807431505347, 0.00048800096554221437])
