instance;β;Layout;transform;energy;best_dwave;probabilities;discarded_probability;statistic;max_states;bond_dim;de;max_sweeps;cl_states;iters_svd;iters_var;dtemp_mult;var_tol;time;cRAM;schmidts
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 4, 3, 2), true);-945.936461306018;-966.0261535853645;-83.16035977266436;-6.395858211118142;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;580.447303473;0.0079;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.023140658713484922, 0.016558063407333873, 0.02427076663755003, 0.048767381979512144, 0.06362319657987811, 0.03537810870740072, 0.035433867669427854, 0.027268925975197048, 0.04350170832878864, 0.03796222663606207, 0.0407398924570664, 0.05152657345187356, 0.028399107754591417, 0.018415275297204117], 4 => Any[1.0, 1.0, 1.0, 0.008444281976506433, 0.03328984895675596, 0.0266543607047193, 0.03727467368524212, 0.06102753554337512, 0.06968063677398406, 0.0489023230826597, 0.02529215457846597, 0.07022950411737286, 0.06277918694679749, 0.029404898499100968, 0.004039526138827002, 1.0], 6 => Any[1.0, 1.0, 1.0, 0.03497569050133323, 0.029094463484948395, 0.02482684018771231, 0.051130933614249, 0.07387022720448808, 0.04386471803721826, 0.016226743779123164, 0.03462969066812908, 0.022819876978372806, 0.03309618720583342, 0.009318846594520504, 0.02025456686625006, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.048907055727074024, 0.044749843543200885, 0.04495709211845841, 0.07497019132769323, 0.05651283037190153, 0.04765566866181002, 0.040235487881396595, 0.05703556102529195, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.004564594363066566, 0.021313808644166776, 0.018754379148077788, 0.009434007750318017, 1.0, 1.0, 1.0, 1.0, 1.0], 9 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.033344486285543026, 0.021837413405282887, 0.05899681092292958, 0.03161581016863123, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0020995194355077538, 0.03072895611977308, 0.030761584031786065, 0.04435514566603365, 0.06703016598260969, 0.05028331180304394, 0.031254946978408485, 0.0018495327509307526, 1.0, 1.0, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 1, 4, 3), false);-958.8524529118981;-966.0261535853645;-77.83009604347693;-6.25812514831638;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;587.934527303;0.0078;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.053116071897348814, 0.02304369662876384, 0.04597037615252403, 0.0536503918031499, 0.027948425705699786, 0.021558668205073184, 0.04747835404451675, 0.04559166839543579, 0.039742882926003524, 0.09460622541705088, 0.08597245565862507, 0.04821571799279403, 0.03742557292997465, 0.025408693014381804], 4 => Any[1.0, 1.0, 1.0, 0.004178279820550095, 0.025110336282408545, 0.03393586796951468, 0.04678489698471808, 0.029993316977427804, 0.027309342258522242, 0.04937712710389874, 0.026730507580282052, 0.02915648484882154, 0.027095255716848732, 0.025216618440665185, 0.0032223726172116345, 1.0], 6 => Any[1.0, 1.0, 1.0, 0.049339891437714625, 0.05367871668747218, 0.05540802699142734, 0.045120466867673674, 0.05429925581691051, 0.057928791592476374, 0.045341827755077294, 0.049289847437226295, 0.026192626296720433, 0.05627645350881928, 0.06868870176654726, 0.034725330125696285, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.059950856155497265, 0.02210236664293592, 0.049134955195131336, 0.05115070638388761, 0.03334600014563072, 0.025411522840428597, 0.021453640249436582, 0.014788028509899494, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0037005983895297243, 0.021195276917593067, 0.01331915636785896, 0.006856604346915466, 1.0, 1.0, 1.0, 1.0, 1.0], 9 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.034621533331064394, 0.016005304966276446, 0.026018066485078917, 0.01768144781400483, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.005935881153841665, 0.026797190476701004, 0.05306638214873118, 0.04762284097544992, 0.04626335114700232, 0.03740783020327549, 0.022177123266103275, 0.003395862472086172, 1.0, 1.0, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 2, 1, 4), true);-952.5276536315376;-966.0261535853645;-80.66788055412434;-6.11334620407406;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;583.608337819;0.0079;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.05528164226550225, 0.045859113357387446, 0.07104131192899947, 0.037625913760813, 0.05188887402050986, 0.03640508905290296, 0.08070209993343853, 0.07265981222718419, 0.08523608529839974, 0.029943042215084655, 0.033609222072448534, 0.020133470547183382, 0.033774466874433695, 0.025716513179210542], 4 => Any[1.0, 1.0, 1.0, 0.006654776022612496, 0.024373998269752152, 0.03229412159432019, 0.02341871035462789, 0.02152489558695024, 0.010842396530037742, 0.0215689486544612, 0.027329437257111313, 0.056124675832833974, 0.06235828383481113, 0.03095386337074361, 0.00365543561713021, 1.0], 6 => Any[1.0, 1.0, 1.0, 0.02326013824814561, 0.023476323552926337, 0.022404818697739526, 0.03135080533154055, 0.07345727703538364, 0.06344605934377431, 0.0304440085094913, 0.03845458576599611, 0.03301183770913879, 0.02580375661876995, 0.05283856029535554, 0.03990940215077286, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.04800418270044434, 0.04110570696706793, 0.027611732765642525, 0.019168920416853998, 0.03095464504168723, 0.024283392909440853, 0.024131039170873017, 0.0221252439793521, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.005680687350326401, 0.026676676376003676, 0.04435885091449398, 0.008961277778724764, 1.0, 1.0, 1.0, 1.0, 1.0], 9 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.033844457547431345, 0.02537837897148281, 0.027481231389069778, 0.02225610751209987, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0035454312683544827, 0.033781366514370165, 0.019913657665817947, 0.06469165980534637, 0.048469850361059635, 0.026673741226553326, 0.01309535888099901, 0.004561496825301503, 1.0, 1.0, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 3, 4, 1), true);-957.3091209326006;-966.0261535853645;-78.63228983456355;-6.29072039510528;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;590.109600651;0.0079;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.0246529200584561, 0.022751047184097633, 0.01910895947473392, 0.03171094791706465, 0.028068327358721487, 0.08831958179750532, 0.07462346179274025, 0.07803748438366512, 0.03895112401954635, 0.04054175396958614, 0.0372966067779284, 0.0706798069046372, 0.04557984035695807, 0.05590753886420728], 4 => Any[1.0, 1.0, 1.0, 0.003344757106609977, 0.03129094833728555, 0.06254069687289496, 0.05636403664481086, 0.027844416694885726, 0.022067094581862064, 0.011066268192244067, 0.022363284688924866, 0.02659742785096235, 0.032097669412537194, 0.02381628729325398, 0.006757420226815799, 1.0], 6 => Any[1.0, 1.0, 1.0, 0.03241193348245037, 0.05367832057858318, 0.023898214756036863, 0.03196575047794289, 0.038917519871793704, 0.01884911860024901, 0.06086836308061436, 0.07231499336550366, 0.03137710877244955, 0.022327639205032713, 0.02383010146467953, 0.023545435905736312, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.02629146576169105, 0.02097882889189899, 0.02372687136438377, 0.03063659295365514, 0.018072519980919622, 0.028446192524711453, 0.04114364331352297, 0.048204738231781036, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.007570463033892423, 0.048791440644904926, 0.025642583299561178, 0.005709721732021896, 1.0, 1.0, 1.0, 1.0, 1.0], 9 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0216095468171639, 0.027444340883123284, 0.02631158096671982, 0.03390052017416886, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.004550039709599967, 0.012126071706791048, 0.026324744576369276, 0.04757042141867568, 0.06477475494811179, 0.019912418126065604, 0.034124233059783474, 0.003545683949837332, 1.0, 1.0, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-951.3305409621978;-966.0261535853645;-81.72616479958134;-6.2207843880091325;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;621.381062753;0.0078;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.026666846190402105, 0.0232190366544611, 0.07060783209268337, 0.015518438336062947, 0.01720059380135139, 0.04624816058963685, 0.06896524720595323, 0.07590931689217388, 0.046300825052879045, 0.03495435505179758, 0.03717605054005076, 0.06285120003188613, 0.044979649364017694, 0.024743870542488857], 4 => Any[1.0, 1.0, 1.0, 0.008736683424296423, 0.056212778674251125, 0.05457279711573322, 0.05095641606904435, 0.024411501613214658, 0.020677188132996568, 0.019914838903420492, 0.025196082411319532, 0.0311431014299571, 0.03739962419508128, 0.0444858925536956, 0.005007280008138735, 1.0], 6 => Any[1.0, 1.0, 1.0, 0.019557510634158858, 0.01763576903922954, 0.03656904960074192, 0.05446138649726209, 0.05456374605408131, 0.03425053195224958, 0.05205666096900152, 0.0659672957321872, 0.049708643795384415, 0.012965976188976222, 0.04914814583721807, 0.03940489454223431, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.019060550333955602, 0.04996682675243221, 0.036635599422677315, 0.014746491525175329, 0.012881973833082165, 0.01898489103517834, 0.05824509205042461, 0.05751582126389885, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.003557199208704561, 0.017699092866510294, 0.023803383738995317, 0.004997140211224036, 1.0, 1.0, 1.0, 1.0, 1.0], 9 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.04828552627459255, 0.03236750403604731, 0.02957061367889428, 0.03199044066034308, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.004810679208222286, 0.03226899393098477, 0.037082102341984696, 0.048349909744629195, 0.03557881788207478, 0.018637569727581068, 0.027045549243504847, 0.00519649204600204, 1.0, 1.0, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 4, 1, 2), false);-953.1975728745238;-966.0261535853645;-80.79943309161713;-6.363406718662385;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;575.923961608;0.0078;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.02017487845796236, 0.04491085359639166, 0.05373749392870567, 0.028196285915526715, 0.03547275008663571, 0.037331580821149284, 0.0701329775841561, 0.06962844479537841, 0.04649918523386279, 0.018396510206176192, 0.015356614379283349, 0.07260074754244325, 0.02346238544856568, 0.024264146682409594], 4 => Any[1.0, 1.0, 1.0, 0.005219883142853146, 0.0375383149632505, 0.026888255715588914, 0.03498391377247703, 0.02535257964420012, 0.020717494031083587, 0.020717069237652434, 0.024272626547062835, 0.05217011274420632, 0.054658266900198406, 0.057448635419570994, 0.008923904709638537, 1.0], 6 => Any[1.0, 1.0, 1.0, 0.02261294516533513, 0.045786921208298095, 0.01309860116575498, 0.04991502739997973, 0.06779754969607525, 0.05154849161584169, 0.033068525242527944, 0.05439153788463866, 0.05573650944928495, 0.04875410343906078, 0.016699442173741585, 0.020272994527750665, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.04136326172941122, 0.05835533423799741, 0.01898721901788483, 0.01288669249333912, 0.016746812858114652, 0.03652134674356328, 0.05026676801716126, 0.023432700520360138, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0049146616282420555, 0.023805920910830794, 0.017806403225336984, 0.0035534184593497306, 1.0, 1.0, 1.0, 1.0, 1.0], 9 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.03198684923811083, 0.02956484525093208, 0.03236856881040529, 0.048291689612957545, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.006462047591760438, 0.02943101745002512, 0.018375653939816435, 0.03305700050803525, 0.04584481875691127, 0.03624623819546448, 0.03127991980075075, 0.004815381494659525, 1.0, 1.0, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-956.5742932350936;-966.0261535853645;-78.89150795014032;-6.29128012139805;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;659.489962613;0.0078;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.025155658377907217, 0.03613368045745827, 0.04087939449740981, 0.08565456542306542, 0.09452914382812247, 0.03952307210602359, 0.04544730563126298, 0.04729878222224508, 0.021656451534220952, 0.027923890318991014, 0.054851587954371235, 0.04505095972181663, 0.030386611497792617, 0.04960061629642843], 4 => Any[1.0, 1.0, 1.0, 0.0022822997351537046, 0.01613880609394038, 0.027738014525501748, 0.030651725605274717, 0.026458390895931636, 0.049504475284305065, 0.02701589969202956, 0.029946167292680965, 0.04611819651776605, 0.03406794257595913, 0.0376367599225619, 0.0052504759431621015, 1.0], 6 => Any[1.0, 1.0, 1.0, 0.02975392540279413, 0.06874849831894209, 0.05593556224328469, 0.026497826490006177, 0.0487450297165089, 0.04496284968930948, 0.05738789139052668, 0.054524756876592896, 0.04487933525137603, 0.055706133848097715, 0.05346305304325079, 0.04925953511635722, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.014839675870659503, 0.02147815002867619, 0.02534074095915321, 0.032927874577288345, 0.050744442194343896, 0.04840366133363602, 0.0219105743517377, 0.05990369086076868, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.005561758371195979, 0.013326503134575332, 0.02109438555746734, 0.0036129648592196947, 1.0, 1.0, 1.0, 1.0, 1.0], 9 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.01769697404841606, 0.02629807485222674, 0.023610479181860072, 0.035191776106023656, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.003581914322606796, 0.022629025185638106, 0.038305326322730086, 0.0455423020983756, 0.04735466796660054, 0.05303033477123696, 0.027301730747823414, 0.006032249823389845, 1.0, 1.0, 1.0])
001_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 1, 2, 3), true);-949.0165515595278;-966.0261535853645;-81.19375670013233;-6.51897206086163;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;594.719871421;0.0079;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.0182912373433724, 0.02908964843209108, 0.05135206390432298, 0.03923694848520924, 0.03908212973388467, 0.025215930255133714, 0.024934777826910868, 0.0341592985764231, 0.03413893590054507, 0.06368219151374799, 0.04902119339811013, 0.02475884590631537, 0.016290409132175145, 0.023105286470351444], 4 => Any[1.0, 1.0, 1.0, 0.004074046456494522, 0.029270435362708593, 0.06301588640546078, 0.0660979370075577, 0.02792033493097028, 0.044908683560456464, 0.06992100436861734, 0.05870666438239864, 0.04317739837694549, 0.02657107138788422, 0.03331293465061769, 0.008364750305612878, 1.0], 6 => Any[1.0, 1.0, 1.0, 0.019689509802642058, 0.008025110898405633, 0.032817123363724394, 0.02326776526812754, 0.03470505172731732, 0.017199103519663736, 0.039876539794104424, 0.07298829343382536, 0.05014417223710388, 0.025109317796432558, 0.029622388172483, 0.03493125362482827, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.05616430733137018, 0.038061464554414316, 0.047571631690151696, 0.05550261523545196, 0.07310665393204617, 0.04477644349184083, 0.04195713163076448, 0.03921734384122868, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0088130765592129, 0.018402436717311357, 0.020830563577013152, 0.004490642541779583, 1.0, 1.0, 1.0, 1.0, 1.0], 9 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.031547688672634924, 0.05888342164758745, 0.026990609793426892, 0.033795201279398765, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.001840486602645849, 0.029852232517512945, 0.049192864536825844, 0.06888217254302337, 0.045185328009882224, 0.031824927393936754, 0.030371902012083896, 0.002554249704231899, 1.0, 1.0, 1.0])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-952.7291882882587;-964.2975157784068;-76.41108637598326;-6.246516654427451;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;664.175375476;0.0079;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.05016202286732072, 0.032720541718452054, 0.06197065921033503, 0.04173610701524357, 0.03712536867758844, 0.05837903083798421, 0.056761919327633976, 0.06285218140200982, 0.05310647568104011, 0.02301594777201811, 0.02599062330698596, 0.0272154759675097, 0.018564099893735, 0.026352796605856044], 4 => Any[1.0, 1.0, 1.0, 0.0035907601254366356, 0.033277372303348686, 0.05999558625857886, 0.052432966299688216, 0.06884791710371453, 0.06733015151265492, 0.0789846059966486, 0.07911171804534986, 0.05638925582455014, 0.031324137406535946, 0.028305334459695013, 0.005680843456772194, 1.0], 6 => Any[1.0, 1.0, 1.0, 0.009340059477010049, 0.015132073731681924, 0.031240346219120915, 0.03568734024240014, 0.057817332687052775, 0.05706453610794354, 0.06328299236504514, 0.06137016309251567, 0.025198708625254047, 0.022189025397687225, 0.030671282342743793, 0.01318943135970805, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.03894101973581154, 0.03575878553477778, 0.03539602471415114, 0.046847977951206626, 0.06114776877278192, 0.04560610097202179, 0.0634839482389535, 0.039601494263696656, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0132641792892621, 0.029897620629724952, 0.011829231499672806, 0.0020212485708455117, 1.0, 1.0, 1.0, 1.0, 1.0], 9 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.04504037356776011, 0.03052029568094143, 0.03474798375806555, 0.017965141466695915, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.0016844127430024403, 0.0113310407098456, 0.010161028652283898, 0.019410489430985542, 0.039063156107578816, 0.02027928287793452, 0.016283647599027184, 0.007653288624623997, 1.0, 1.0, 1.0])
002_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 4, 3, 2), true);-947.5997539317411;-964.2975157784068;-79.94126673496795;-6.3994519576298154;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;675.05928786;0.008;Dict{Any, Any}(5 => Any[1.0, 1.0, 0.02629628877614685, 0.020996958725194276, 0.02041805527218695, 0.03266322028444333, 0.03182620863330005, 0.04689806310153122, 0.03329493693029425, 0.02891659243136543, 0.02352708760956269, 0.024229193929896704, 0.0291234812499996, 0.03942509650414314, 0.030527887234903094, 0.023606547643686603], 4 => Any[1.0, 1.0, 1.0, 0.01212702402474938, 0.04390975889232092, 0.015839924390922817, 0.031854472831122825, 0.04176387876162559, 0.05181153624884158, 0.04816847719446049, 0.02592075529366397, 0.022155313385564104, 0.020724061059171524, 0.040810631604037806, 0.012086777266257604, 1.0], 6 => Any[1.0, 1.0, 1.0, 0.023945484932568442, 0.03932026875025081, 0.019335633895705532, 0.015036155864343505, 0.02910985978089794, 0.027141974620600508, 0.02772776130369852, 0.04439396180491933, 0.05091800749151236, 0.03549347745116645, 0.012907669760938916, 0.02703918654044779, 1.0], 7 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.013531184530244262, 0.02376111378455615, 0.022936463250936203, 0.0197982937587527, 0.024865138700396847, 0.04335117687686245, 0.03221580066778647, 0.02706917671316398, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0020572169108593287, 0.027256246729534656, 0.025508538739504323, 0.011377051412979655, 1.0, 1.0, 1.0, 1.0, 1.0], 9 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 8 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.02835326825045839, 0.03521144095658031, 0.038171794921666606, 0.028990777230599455, 1.0, 1.0, 1.0, 1.0, 1.0], 3 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 0.00914655010426592, 0.023256265419924763, 0.02197382544385443, 0.026009162444396425, 0.04344926723210572, 0.0472749078100576, 0.05388033327126566, 0.007906690798579167, 1.0, 1.0, 1.0])
